,Total Return (%),Annualized Return (%),Annualized Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),Win Rate (%),Skewness,Kurtosis,VaR 95% (%),Number of Stocks
Cluster_0,26.38998856994825,22.484484582228603,17.822295914066704,1.1493740582581564,1.31360253467492,1.124675972989107,-19.991966683942287,56.70103092783505,-0.21727692397164025,18.710212263198613,-22.73003086998674,19.0
Cluster_1,148.6192157855303,120.05178111322117,45.73356765807978,2.581293941374042,3.698754110078718,3.3001039205077287,-36.378182022447014,59.450171821305844,0.2725923863896024,4.5032047075090595,-69.27631500606883,4.0
Cluster_2,33.250435104851505,28.221386317520892,27.78510523324682,0.9437209647903427,1.2414533495151623,0.9864272766275615,-28.60969783196318,59.79381443298969,0.7125042227289897,11.506632861679122,-45.70516015325327,4.0
Cluster_3,5.110756288908891,4.410937436460882,12.71260580066297,0.18964935075192452,0.25457203622810565,0.3931512529417063,-11.219441381546112,50.51546391752577,-0.3619451822445848,12.86138894064247,-17.42678378699284,23.0
Benchmark,24.394808653268683,20.80830732276988,15.547681905830688,1.209717785370718,1.4381913228084153,1.213116263743078,-17.152772528632763,56.013745704467354,0.31125467612811586,21.05596749589214,-20.730747235528817,50.0
